,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
Nalcn,1013.46114632167,-0.1506491777144,0.0725280692305597,-2.07711551282995,0.0377908991420632,0.0535933435749795,#BEBEBEB2
Btbd17,55.2503309092384,-0.0456287917329665,0.256871898820255,-0.177632477287424,0.859011616957528,0.0984108908781664,#BEBEBEB2
Th,174.135191998479,-0.36842686533371,0.214017815014521,-1.72147755694409,0.0851642013033974,0.0697548177459447,#BEBEBEB2
Drp2,14656.1907341415,0.163366851754767,0.149579825445589,1.09217169673856,0.274757640428364,0.0872062163162308,#BEBEBEB2
Gmpr,926.235163663311,0.0741735573506777,0.0799009211035421,0.928319177379164,0.353242029176459,0.0898829470546325,#BEBEBEB2
Mid2,968.78323758803,-0.0571110840492746,0.0979385220590066,-0.583131977577383,0.559804458383502,0.0948748625200411,#BEBEBEB2
Trim25,674.553564731374,-0.176822072347186,0.110097954558738,-1.60604320993858,0.108264416274504,0.072996632104947,#BEBEBEB2
Dgke,1065.42972631196,-0.0777834489745285,0.0636896355857033,-1.22128896262658,0.221976630927943,0.0840309100198647,#BEBEBEB2
Scpep1,511.202700246217,0.146809770210875,0.116952108470514,1.25529819112144,0.209370531582877,0.0832118870990875,#BEBEBEB2
Mnt,1137.52279516624,-0.0453655096533508,0.0691454393800936,-0.656088240382361,0.511767350336779,0.0940358508165465,#BEBEBEB2
Itgb2,108.861361035167,0.362239632925846,0.327023277914897,1.10768760938209,0.267996752371038,0.0867726744086974,#BEBEBEB2
Hddc2,186.979471421099,0.0030090255329287,0.137314565887966,0.0219133746916823,0.982517055876227,0.0999146064048841,#BEBEBEB2
Tpd52l1,110.411383893825,-0.351438172015107,0.189806945837569,-1.85155590836943,0.0640896194377013,0.0640072341729169,#BEBEBEB2
Pemt,92.3958651134471,0.149454616582338,0.193123211397517,0.773882204530593,0.439000454027842,0.092500123566924,#BEBEBEB2
Cdh1,3943.25516876833,-0.0685427321887605,0.0617667047986325,-1.10970355974499,0.267126788447261,0.086654146033053,#BEBEBEB2
Cdh4,402.556354473684,-0.290630214601888,0.108665487668979,-2.67454019520177,0.00748318050904421,0.0299655940431161,#00FF00B2
Ckmt1,5074.56952548371,-0.0977336543699969,0.0746709764767325,-1.30885732290445,0.190582685231995,0.0813799187082672,#BEBEBEB2
Bcl6b,25.1839853777638,-0.321130819799378,0.305710685053367,-1.05044028717321,0.293515731226794,0.0877055256820481,#BEBEBEB2
Alox12,46.8788077585826,0.289077371367805,0.314120693821891,0.920274840382575,0.357429153332924,0.0901027075900605,#BEBEBEB2
Arvcf,1471.65989884248,0.00687838739239278,0.0775015171983784,0.088751648239174,0.929279285091078,0.0994850289215016,#BEBEBEB2
Comt,1469.94799881741,0.0624379882864162,0.0727644521690291,0.858083671699679,0.390846262883705,0.0909816558115035,#BEBEBEB2
Rtca,920.113321567752,0.0221834981586913,0.0867807048219425,0.25562707982388,0.798238806290272,0.0977839177698934,#BEBEBEB2
Dbt,600.238869147066,-0.047242433910204,0.0857645010012567,-0.550839022657075,0.581744031074965,0.0952236071226918,#BEBEBEB2
Dazap2,2983.13906391649,-0.0491221422253163,0.0477314106833235,-1.02913661092524,0.303415484392768,0.0879246776686523,#BEBEBEB2
Mcts1,685.756805725785,0.101067726055813,0.078397363995139,1.28917250409184,0.197338121766886,0.0819966153509715,#BEBEBEB2
Rnf17,44.9034167711408,0.462414592054395,0.286527401950436,1.6138581821727,0.106558191002035,0.0727706414736599,#BEBEBEB2
Trappc10,3285.87192259943,-0.0216129927788984,0.0454699805806056,-0.475324433899517,0.634555746055528,0.0957611871030444,#BEBEBEB2
Ccm2,1002.98362140407,-0.0324639269946349,0.0606949018400154,-0.534870738900048,0.592739243377754,0.0952328890673379,#BEBEBEB2
